ID,GLON,GLAT,r
1,-0.041432958,0.167050008,0.003658291
2,-0.023111213,0.169159859,0.003910418
3,0.040875613,0.020200699,0.0031422
4,0.186036858,-0.611813504,0.003039883
5,0.200750902,-0.513360793,0.002216539
6,0.209509309,-0.001949522,0.003344403
7,0.279043238,-0.484630374,0.006592027
8,0.313508954,-0.203541295,0.004564503
9,0.314133033,-0.192718231,0.004588912
10,0.331705943,-0.062484792,0.004423274
11,0.336513676,-0.013365488,0.004533226
12,0.381538385,0.016557297,0.005646113
13,0.410835395,-0.059523745,0.002118394
14,0.467861281,-0.675211245,0.003053696
15,0.470496721,-0.055056059,0.002288991
16,0.479391879,0.073992663,0.004144626
17,0.489693602,-0.074343193,0.003861887
18,0.503642286,-0.788771411,0.002569483
19,0.528318062,0.181778051,0.004412792
20,0.532688594,0.168534616,0.002580367
21,0.534372743,-0.082052388,0.004587437
22,0.544797809,-0.84227851,0.003495143
23,0.545292155,-0.847688094,0.003483176
24,0.546447128,-0.851175796,0.002960849
25,0.551001286,-0.85213406,0.002411606
26,0.563255078,-0.854075899,0.00472839
27,0.582542191,-0.870940308,0.003821563
28,0.591257836,0.049896932,0.004404005
29,0.602098065,-0.050016751,0.002937529
30,0.630839294,-0.027189752,0.004124908
31,0.640261431,-0.112105302,0.004505274
32,0.65488722,-0.068756682,0.001361003
33,0.666360945,-0.050347657,0.001329416
34,0.669359903,-0.035040541,0.001556553
35,0.681024796,-0.034553308,0.00284994
36,0.692672725,-0.045339289,0.00145236
37,0.697988603,-0.050771984,0.0030465
38,0.835652994,0.18474578,0.003372367
39,0.88404305,0.054338056,0.002796365
40,1.005403724,-0.235483031,0.002574481
41,1.049377923,-0.069734324,0.001730598
42,1.125983211,-0.106474644,0.004522291
43,1.12828771,-0.360356185,0.00224676
44,1.138340057,0.807983763,0.005571626
45,1.143067838,-0.27625245,0.001813521
46,1.329646872,0.15175732,0.005400513
47,1.332022513,0.088246889,0.003908029
48,1.391253124,0.074623929,0.002296421
49,1.396006803,-0.006568036,0.00368403
50,1.488544167,-0.199085854,0.003540049
51,1.66328647,-0.077360405,0.002768262
52,1.911844773,-0.272348666,0.004473318
53,2.084284099,-0.577030864,0.00349291
54,2.141216406,0.009256721,0.003617618
55,2.246406972,-0.674982519,0.003915928
56,2.255621289,0.231755642,0.002452661
57,2.308571783,0.227413056,0.002349969
58,2.402792243,0.068591367,0.004176257
59,2.405961455,0.062304577,0.001722568
60,2.44419918,0.130975133,0.0023331
61,2.502895351,-0.044406174,0.002983642
62,2.590061761,0.126997043,0.001995562
63,2.61405845,0.133350863,0.004416986
64,2.67676297,0.031424145,0.002091302
65,2.683329201,0.137807888,0.003491171
66,2.699731438,-0.059206487,0.002852946
67,2.736494419,-0.081789268,0.002513762
68,2.887527785,0.276793425,0.002987708
69,2.893489083,0.023687762,0.003443595
70,2.962397653,-0.057400563,0.008643117
71,3.207519135,-0.10739046,0.001452194
