ID,GLON,GLAT,r
3035,101.2360093,2.62790407,0.004378908
3036,101.3222692,2.683183062,0.006419113
3037,101.3236063,2.530120671,0.004191225
3038,101.3371391,3.013118811,0.002672031
3039,101.4137975,2.614584485,0.001658289
3040,101.5907499,2.889377377,0.002896786
3041,101.6668515,2.823833363,0.00649518
3042,101.7675514,2.812211999,0.007848249
3043,101.8520162,2.908235626,0.006414176
3044,101.9988173,2.429083727,0.003849378
3045,102.0802124,1.41492859,0.003328035
3046,102.0877496,3.04307952,0.001991138
3047,102.1017081,1.344831086,0.003461074
3048,102.109868,2.330712238,0.004645363
3049,102.133241,2.432197128,0.002081874
3050,102.1770926,1.246490082,0.00406377
3051,102.1841487,1.855871197,0.003313907
3052,102.3103439,2.127744306,0.005799016
3053,102.3223369,2.936274929,0.006326535
3054,102.3829837,2.738797654,0.004889066
3055,102.3874552,2.738077745,0.002162604
3056,102.4722241,1.723589864,0.003268139
3057,102.5644593,2.120030163,0.002373066
3058,102.5781968,2.866040095,0.003121667
3059,102.5945602,0.845004811,0.002428023
3060,102.5946906,0.099492494,0.003666147
3061,102.5986197,2.067479158,0.00512186
3062,102.6577276,1.626104868,0.003285289
3063,102.6710688,1.811485011,0.001698579
3064,102.6756535,2.894157682,0.002344612
3065,102.7272664,2.263226933,0.001915834
3066,102.7349257,0.147503296,0.003737509
3067,102.8066935,1.051714339,0.002150502
3068,102.8132297,0.313783431,0.002621397
3069,102.8224203,1.19073217,0.002719396
3070,102.8463384,1.223801967,0.001917674
3071,102.8841009,0.406180893,0.003475998
3072,103.1015164,1.961482855,0.001792201
3073,103.2026033,1.961652498,0.001923236
3074,103.223699,0.676087276,0.008737055
3075,103.2310269,0.908353466,0.00409986
3076,103.2318876,2.526018206,0.002543218
3077,103.2368032,2.664112393,0.002171108
3078,103.2400115,1.970157566,0.005808978
3079,103.3144848,0.22860004,0.004209868
3080,103.3288256,1.787046231,0.002640111
3081,103.3332029,1.786061246,0.002215195
3082,103.3486188,2.456655814,0.002288906
3083,103.4136153,1.216125944,0.003948155
3084,103.4468138,1.150920906,0.002072985
3085,103.4571259,3.0702629,0.003457495
3086,103.4622736,1.444045766,0.007597699
3087,103.4623553,1.721938566,0.001618764
3088,103.4624581,1.905004854,0.003007466
3089,103.465749,0.560258708,0.002094057
3090,103.4670836,1.546871715,0.003168144
3091,103.471401,1.54422599,0.002837696
3092,103.4787447,1.518745859,0.002852641
3093,103.4828264,0.531860994,0.003957673
3094,103.4834354,2.000915232,0.007292143
3095,103.4966536,1.585152678,0.003121691
3096,103.5178924,1.527282008,0.006345035
3097,103.5294751,1.640659522,0.001823425
3098,103.6254428,0.750938505,0.002465982
3099,103.6357287,2.201757076,0.010786189
3100,103.6398823,1.088886343,0.006317986
3101,103.6573603,1.406009911,0.002131443
3102,103.6895693,0.436411563,0.007953695
3103,103.7027604,2.507832294,0.004518161
3104,103.7121445,1.956575875,0.004223633
3105,103.727154,1.805496365,0.00360435
3106,103.7485206,2.182582142,0.005819863
3107,103.7999546,1.39662465,0.005586844
3108,103.8009137,1.24491927,0.002823372
3109,103.8023888,0.407564398,0.005066855
3110,103.8537316,1.233560337,0.003198136
3111,103.8749215,1.859200702,0.006840909
3112,103.9551092,1.098284088,0.007060415
3113,103.9988404,2.224787884,0.00320329
3114,104.0114486,1.267227668,0.007002158
3115,104.0548206,0.998112677,0.005258845
3116,104.1107558,1.70703898,0.005476101
3117,104.1326107,2.174415675,0.00244449
3118,104.1358337,1.277610946,0.006869038
3119,104.1677034,2.094610637,0.003482523
3120,104.1806176,0.177866194,0.004847297
3121,104.2009974,2.604851736,0.00217224
3122,104.2171126,1.397644482,0.004025193
3123,104.2378767,2.617070069,0.002361651
3124,104.2482286,2.879835016,0.002557622
3125,104.2937917,2.894631256,0.003551153
3126,104.2940508,2.647955019,0.002064744
3127,104.2988968,2.893962117,0.00186202
3128,104.3444972,3.098060901,0.00222364
3129,104.3468878,1.961534016,0.002126977
3130,104.3477688,2.825098389,0.005605597
3131,104.3487524,2.803877977,0.003483093
3132,104.350886,1.947844713,0.001847397
3133,104.3517567,0.403678664,0.004494441
3134,104.354869,1.294040328,0.005438209
3135,104.3559533,0.413700778,0.003720537
3136,104.3632666,0.250274574,0.004976486
3137,104.373248,0.1730874,0.005183281
3138,104.3940232,2.880342304,0.004599482
3139,104.4048885,0.36528023,0.004129218
3140,104.4074658,3.005822392,0.004836372
3141,104.4237875,1.180232298,0.007568662
3142,104.4380762,1.031672614,0.005038385
3143,104.4388887,2.388917881,0.001747303
3144,104.4391289,1.17891845,0.004025041
3145,104.4690812,1.823237206,0.00304
3146,104.5363701,0.277347483,0.004268373
3147,104.5771554,2.633139359,0.004468837
3148,104.6525128,2.347395619,0.007589453
3149,104.6697117,1.24160193,0.005060329
3150,104.7019475,2.874342832,0.004274094
3151,104.7113677,0.06937314,0.00530824
3152,104.7116937,2.788068605,0.004360956
3153,104.7250031,1.95827398,0.003065264
3154,104.7250923,0.442453166,0.007552366
3155,104.7286845,2.80091302,0.004123768
3156,104.7437623,0.545710413,0.004690098
3157,104.7874143,3.104748048,0.007183421
3158,104.8597529,0.868749256,0.003220881
3159,104.8786299,0.277409112,0.002840503
3160,104.9660681,0.438308822,0.002100482
3161,104.9788632,0.443139402,0.001856749
3162,105.0222635,0.253182958,0.001988197
3163,105.0382474,1.257379116,0.002778399
3164,105.1198733,1.22745564,0.00283573
3165,105.1664788,2.923232753,0.006556917
3166,105.1739191,2.792221681,0.003206048
3167,105.2195172,0.318699137,0.00595515
3168,105.2382158,2.667081642,0.002024061
3169,105.2964793,0.164852433,0.00383898
3170,105.358239,0.933612418,0.005516057
3171,105.3644019,0.281606358,0.003423043
3172,105.3761282,0.786777058,0.003585628
3173,105.377344,2.699294075,0.002152535
3174,105.3814733,1.768526184,0.002034639
3175,105.3907983,2.857721792,0.005652459
3176,105.4369399,0.813310391,0.001999985
3177,105.5029934,0.624339899,0.004883801
3178,105.5086115,0.228626683,0.007356673
3179,105.5639728,0.069044019,0.003190509
3180,105.5690636,0.070817338,0.003363924
3181,105.57618,0.300849951,0.005226975
3182,105.6034188,2.266612325,0.002155688
3183,105.6044202,0.838668717,0.001995879
3184,105.6273644,0.340139077,0.007530317
3185,105.6691222,1.656209656,0.005684991
3186,105.70607,0.021956026,0.003771028
3187,105.7175967,1.760702201,0.006171011
3188,105.730696,1.762606213,0.00242105
3189,105.7438854,1.806951144,0.006126626
3190,105.7458482,1.811617443,0.005048497
3191,105.7566186,0.332563921,0.005117921
3192,105.8067655,1.640672767,0.002031078
3193,105.8276028,2.91042787,0.003228084
3194,105.8357053,0.327141285,0.005432933
3195,105.8511529,0.139538249,0.006924359
3196,105.8893358,0.055872398,0.004605321
3197,105.9541437,0.486721737,0.003950573
3198,105.9636347,0.419854524,0.008264929
3199,105.9724946,0.740540101,0.002687676
3200,105.9772868,0.468244307,0.002892795
3201,106.0497774,2.3840327,0.002724746
3202,106.0647524,2.906394629,0.003332151
3203,106.0726574,0.364988091,0.006306363
3204,106.1080315,0.928998778,0.002915965
3205,106.1356516,0.098537774,0.004355509
3206,106.1418608,0.130722687,0.006630351
3207,106.1485751,2.658701825,0.002463073
3208,106.2578934,0.94079685,0.00542349
3209,106.3173709,0.056338559,0.005618056
3210,106.3322694,0.031265639,0.004672668
3211,106.4634511,0.596838604,0.003651162
3212,106.4898396,0.92527878,0.008012796
3213,106.498905,0.925632176,0.008160214
3214,106.5485264,0.461234296,0.001834162
3215,106.5836739,1.553970919,0.002400715
3216,106.5901185,0.716592032,0.005877411
3217,106.6749789,1.896240833,0.002958445
3218,106.6831423,1.891794419,0.004212553
3219,106.7257117,1.269750611,0.001978262
3220,106.7272008,1.472310677,0.006236419
3221,106.7414418,1.32511467,0.006762479
3222,106.89412,0.892915051,0.003956636
3223,106.9123031,1.10630792,0.001600643
3224,106.9145658,0.629296352,0.002853582
3225,106.9177054,0.613356115,0.007704714
3226,106.9337927,1.099659807,0.001411486
3227,106.996756,1.136382503,0.002283525
3228,107.0905742,2.185786244,0.004242557
3229,107.1851327,2.007800554,0.003248112
3230,107.2172339,2.88221738,0.002445556
3231,107.2500887,-0.012003556,0.005777676
3232,107.2518322,2.932516422,0.003036682
3233,107.4394503,2.299420896,0.001904466
3234,107.455248,1.917485355,0.001695752
3235,107.4773073,0.935150726,0.00187767
3236,107.4936633,1.17741754,0.00330361
3237,107.4981514,2.430375363,0.001898256
3238,107.5296915,1.817498652,0.001966617
3239,107.5431508,1.816675245,0.00383201
3240,107.5538951,2.871294527,0.005514192
3241,107.633068,2.10843926,0.002627254
3242,107.6529615,0.69210505,0.00256583
3243,107.6635751,1.472917709,0.008429066
3244,107.6816754,1.194181679,0.006338746
3245,107.6864549,0.772538914,0.008881943
3246,107.6887181,0.235961597,0.006891098
3247,107.6941039,0.23023964,0.004309118
3248,107.6979154,2.124429817,0.00228423
3249,107.8424483,2.315748838,0.007845497
3250,107.8476878,1.406507013,0.002745466
3251,107.8614645,0.454371497,0.004526181
3252,107.8725035,1.150617275,0.007736453
3253,107.8743012,1.294681952,0.002772714
3254,107.8747105,0.658994924,0.002469953
3255,107.894683,1.997436309,0.00301755
3256,108.0005866,1.197213507,0.002183243
3257,108.0208752,1.523302261,0.002216305
3258,108.1179848,2.673864341,0.007085135
3259,108.1558537,1.019140016,0.001788612
3260,108.170437,2.051201201,0.006475564
3261,108.1706497,0.134428838,0.005513247
3262,108.1812111,0.610904252,0.007779101
3263,108.1971359,0.580061661,0.007665749
3264,108.2130177,0.141285561,0.004787656
3265,108.2170546,0.53053408,0.005812785
3266,108.3684118,0.63029057,0.003879421
3267,108.4746394,2.07635521,0.003914906
3268,108.4845939,0.846376109,0.002506801
3269,108.5309687,2.736673894,0.00308286
3270,108.5711119,0.689794094,0.003676925
3271,108.5802573,0.691640493,0.004589074
3272,108.5934645,2.899642965,0.00503138
3273,108.595972,0.495231238,0.007071684
3274,108.6895594,2.158510027,0.002419645
3275,108.691024,0.274539199,0.004321552
3276,108.7190093,2.31433118,0.002422916
3277,108.7368573,2.0436833,0.006511595
3278,108.7448255,2.044233325,0.004937422
3279,108.7624437,0.46077841,0.006068095
3280,108.780052,1.775684183,0.006993372
3281,108.7815977,0.252440779,0.006489528
3282,108.7940372,0.206962572,0.004271454
3283,108.8594585,2.486729084,0.006361991
3284,108.9535403,0.007501433,0.005334622
3285,108.9902574,1.513009768,0.005801389
3286,109.0147166,0.581553475,0.003977557
3287,109.1168095,0.675243335,0.005855151
3288,109.1562393,0.599811281,0.00344999
3289,109.1819433,0.287578309,0.002298521
3290,109.3514038,1.249014101,0.006747163
3291,109.3552751,0.448305795,0.00304235
3292,109.4712375,0.638671147,0.002968112
3293,109.690154,0.105693936,0.003665147
3294,109.811632,0.583659179,0.002886712
3295,109.9765512,0.171185491,0.007264134
3296,110.0142871,0.260514916,0.009231475
