ID,GLON,GLAT,r,Bubble,Classic/bubble rim,Classic/inside bubble,Filament/ISM morphology,Classic/on filament,Pillar/Point Source,Point source Plus,Faint fuzzy,Classic/faint fuzzy,Classic YB,Unsure,Notes
1153,30.00332363,-0.265867336,0.00252151,,,,,,,,,,X,,
1154,30.02330139,-0.042858856,0.003577092,,,,,,,,,,,,Three sources
1155,30.02425346,0.1085479,0.003249004,,,,,,,X,,,,,
1156,30.03251489,0.107908234,0.004545309,,,,,,,X,,,,,
1157,30.05582795,-0.339032341,0.003424668,,,,,,,,,,X,,Looks cresent esk
1158,30.06701456,0.097636709,0.004068248,X,,,,,,,,,,,Splits into 4 spots
1159,30.09548025,0.044085361,0.002136443,,,,,X,,,,,,,Part of the same cluster as the YB above and two sources
1160,30.1139104,-0.564677164,0.001739206,,,,,,,,,,X,,
1161,30.13198181,-0.65869003,0.005376244,,,,,,,,,,X,,Two sources
1162,30.19711165,0.308532956,0.001666968,,,,,,,,,,X,,Part of a larger bright object
1163,30.20523749,0.327453206,0.003022816,,X,,,,,,,,,,
1164,30.21092567,0.480734526,0.003474058,,X,,,X,,,,,,,YB branching off of a filament
1165,30.21180647,0.42934506,0.003598434,,,,,,,,X,,,,Radius doesn't contain all of the bubble
1166,30.21919014,-0.178560734,0.003511842,,,,,,,,,,X,,Curls around like a bubble. On top of a dark cloud
1167,30.23647826,0.120797399,0.002326898,,,,,,,,,,X,,Large and bright
1168,30.24761733,0.245540091,0.004142387,,,,,X,,X,,,,,Unsure if its actually a bubble
1169,30.2535626,0.053414926,0.00301693,,,,,,,,,,X,,Three sources
1170,30.29690094,0.05517779,0.006186995,,X,,,,,,,,,,Two points
1171,30.30939076,-0.213456599,0.00414128,,,,,,,X,,,,,
1172,30.34357999,0.37981001,0.003189231,X,,,,,,,,,,,Two sources
1173,30.34931411,0.090317762,0.003936063,,,,,,,,,,X,,Two sources
1174,30.3516521,0.517107514,0.001973745,,,,,,,,,X,,,
1175,30.35686412,0.487160492,0.002452932,,,,X,,,,,,,,
1176,30.36907847,-0.818943539,0.002716291,,,,,,,X,,,,,Teeny tiny bubble looking thing
1177,30.37806228,0.108885584,0.003330531,,,,,,,X,,,,,Could potentially be a point source plus
1178,30.3817685,-0.109389568,0.001391203,,,X,,,,X,,,,,YB with two sources and on a filament
1179,30.38882461,-0.792043361,0.003942043,,X,,,,,,,,,,
1180,30.4109002,-0.227350931,0.002426065,,,,,,,,,,,,Yellow blob on a fliament
1181,30.41868587,0.470578054,0.00268055,,,,,,,,,,,,Looks like a filament but it could be a YB on a filament
1182,30.42232356,0.466875412,0.001742547,,,,,,,X,,,,,
